step,db_id,n_icl,correct,cumulative_regret,mem_size
358,california_schools,3,0,246.0000,113
359,codebase_community,3,0,247.0000,113
360,european_football_2,3,0,248.0000,113
361,student_club,3,0,249.0000,113
362,student_club,3,1,249.0000,114
363,codebase_community,3,0,250.0000,114
364,codebase_community,3,0,251.0000,114
365,toxicology,3,0,252.0000,114
366,thrombosis_prediction,3,0,253.0000,114
367,toxicology,3,0,254.0000,114
368,european_football_2,3,0,255.0000,114
369,thrombosis_prediction,3,0,256.0000,114
370,codebase_community,3,1,256.0000,115
371,european_football_2,3,0,257.0000,115
372,student_club,3,1,257.0000,116
373,thrombosis_prediction,3,0,258.0000,116
374,card_games,3,0,259.0000,116
375,toxicology,3,0,260.0000,116
376,student_club,3,1,260.0000,117
377,thrombosis_prediction,3,0,261.0000,117
378,debit_card_specializing,3,0,262.0000,117
379,financial,3,0,263.0000,117
380,california_schools,3,0,264.0000,117
381,formula_1,3,0,265.0000,117
382,superhero,3,1,265.0000,118
383,codebase_community,3,0,266.0000,118
384,thrombosis_prediction,3,0,267.0000,118
385,codebase_community,3,0,268.0000,118
386,formula_1,3,0,269.0000,118
387,thrombosis_prediction,3,0,270.0000,118
388,debit_card_specializing,3,1,270.0000,119
389,formula_1,3,0,271.0000,119
390,financial,3,1,271.0000,120
391,card_games,3,0,272.0000,120
392,toxicology,3,0,273.0000,120
393,codebase_community,3,0,274.0000,120
394,financial,3,0,275.0000,120
395,thrombosis_prediction,3,0,276.0000,120
396,toxicology,3,0,277.0000,120
397,formula_1,3,1,277.0000,121
398,card_games,3,1,277.0000,122
399,card_games,3,0,278.0000,122
400,formula_1,3,1,278.0000,123
401,debit_card_specializing,3,0,279.0000,123
402,codebase_community,3,0,280.0000,123
403,formula_1,3,0,281.0000,123
404,toxicology,3,1,281.0000,124
405,codebase_community,3,0,282.0000,124
406,codebase_community,3,0,283.0000,124
407,card_games,3,0,284.0000,124
408,debit_card_specializing,3,1,284.0000,125
409,debit_card_specializing,3,0,285.0000,125
410,toxicology,3,0,286.0000,125
411,superhero,3,1,286.0000,126
412,thrombosis_prediction,3,0,287.0000,126
413,codebase_community,3,0,288.0000,126
414,codebase_community,3,1,288.0000,127
415,thrombosis_prediction,3,0,289.0000,127
416,codebase_community,3,0,290.0000,127
417,card_games,3,0,291.0000,127
418,toxicology,3,0,292.0000,127
419,card_games,3,0,293.0000,127
420,formula_1,3,0,294.0000,127
421,thrombosis_prediction,3,0,295.0000,127
422,card_games,3,0,296.0000,127
423,student_club,3,1,296.0000,128
424,codebase_community,3,0,297.0000,128
425,codebase_community,3,0,298.0000,128
426,european_football_2,3,0,299.0000,128
427,card_games,3,0,300.0000,128
428,california_schools,3,0,301.0000,128
429,card_games,3,0,302.0000,128
430,codebase_community,3,1,302.0000,129
431,superhero,3,1,302.0000,130
432,formula_1,3,0,303.0000,130
433,card_games,3,0,304.0000,130
434,codebase_community,3,0,305.0000,130
435,european_football_2,3,0,306.0000,130
436,california_schools,3,0,307.0000,130
437,financial,3,0,308.0000,130
438,european_football_2,3,0,309.0000,130
439,formula_1,3,1,309.0000,131
440,thrombosis_prediction,3,0,310.0000,131
441,formula_1,3,0,311.0000,131
442,thrombosis_prediction,3,0,312.0000,131
443,toxicology,3,0,313.0000,131
444,european_football_2,3,0,314.0000,131
445,thrombosis_prediction,3,1,314.0000,132
446,superhero,3,1,314.0000,133
447,formula_1,3,0,315.0000,133
448,toxicology,3,0,316.0000,133
449,financial,3,0,317.0000,133
450,thrombosis_prediction,3,0,318.0000,133
451,financial,3,1,318.0000,134
452,toxicology,3,0,319.0000,134
453,european_football_2,3,0,320.0000,134
454,toxicology,3,0,321.0000,134
455,student_club,3,0,322.0000,134
456,codebase_community,3,1,322.0000,135
457,card_games,3,1,322.0000,136
458,european_football_2,3,1,322.0000,137
459,codebase_community,3,1,322.0000,138
460,student_club,3,0,323.0000,138
461,toxicology,3,0,324.0000,138
462,formula_1,3,0,325.0000,138
463,european_football_2,3,1,325.0000,139
464,european_football_2,3,0,326.0000,139
465,european_football_2,3,1,326.0000,140
