batch_idx,n_train,acc_running,cumulative_regret,acc_ds1000,acc_ddxplus,acc_hotpotqa,pg_loss,mean_kl,adv_std,ppo_clipfrac,gen_time_s,train_time_s
387,100,0.2745,2815.0000,0.2302,0.2847,0.2909,0.026309,-60.063552,43.1115,0.2268,21.4,15.9
388,100,0.2738,2825.0000,0.2299,0.2840,0.2899,0.013153,-59.342284,42.6195,0.2393,22.3,16.0
389,100,0.2731,2835.0000,0.2291,0.2833,0.2892,1464.686838,-58.207028,41.8858,0.2182,21.9,16.1
390,100,0.2724,2845.0000,0.2291,0.2815,0.2892,0.087238,-56.517467,40.8663,0.1995,21.4,16.1
391,100,0.2717,2855.0000,0.2283,0.2805,0.2890,-0.003092,-57.199134,40.9387,0.2083,21.5,15.8
392,100,0.2710,2865.0000,0.2281,0.2793,0.2886,-0.000880,-56.757848,40.6605,0.2000,21.8,15.9
393,100,0.2703,2875.0000,0.2278,0.2785,0.2878,590.452018,-56.274581,40.4236,0.2188,22.0,15.9
394,100,0.2696,2885.0000,0.2271,0.2785,0.2863,721.012922,-55.825980,40.0247,0.2101,21.9,16.2
395,100,0.2689,2895.0000,0.2271,0.2780,0.2849,0.140010,-55.265456,39.6023,0.1307,22.6,16.4
396,100,0.2683,2905.0000,0.2271,0.2770,0.2841,0.025709,-55.350418,39.6527,0.1497,22.6,16.5
397,100,0.2676,2915.0000,0.2266,0.2765,0.2831,-0.014193,-54.982171,39.3542,0.1761,21.9,16.7
398,100,0.2669,2925.0000,0.2261,0.2757,0.2825,2.935103,-54.188830,38.8131,0.1951,21.9,16.5
399,100,0.2662,2935.0000,0.2253,0.2752,0.2817,330.622816,-53.467705,38.3375,0.1912,21.8,16.7
400,99,0.2656,2945.0000,0.2243,0.2743,0.2815,0.142161,-52.691998,37.8314,0.1190,28.9,16.6
401,99,0.2649,2955.0000,0.2241,0.2739,0.2803,0.146888,-50.874264,36.5913,0.1077,24.0,17.1
402,99,0.2643,2965.0000,0.2233,0.2729,0.2801,0.059335,-50.496501,36.2676,0.1392,21.4,16.9
403,99,0.2636,2975.0000,0.2223,0.2724,0.2795,8966.759144,-50.500061,36.2559,0.1658,21.7,16.6
404,99,0.2630,2985.0000,0.2221,0.2711,0.2793,-0.005998,-50.098889,36.3457,0.1272,21.7,16.3
405,99,0.2623,2995.0000,0.2219,0.2705,0.2784,0.018746,-50.219157,36.4214,0.1151,22.6,16.1
406,99,0.2617,3005.0000,0.2216,0.2695,0.2778,6070.733353,-49.320027,35.7675,0.1244,22.0,15.7
407,99,0.2610,3015.0000,0.2209,0.2691,0.2770,4723.695523,-48.801989,35.4402,0.1150,21.9,15.7
408,99,0.2604,3025.0000,0.2207,0.2684,0.2761,0.029413,-49.124291,35.6701,0.0953,22.0,15.9
409,99,0.2598,3035.0000,0.2190,0.2683,0.2757,0.012446,-50.004564,36.2068,0.0966,22.0,15.6
410,100,0.2591,3045.0000,0.2185,0.2678,0.2747,0.006308,-50.592048,36.5059,0.1045,22.0,16.1
411,100,0.2585,3055.0000,0.2178,0.2674,0.2740,4.813756,-50.899797,36.6364,0.1157,21.6,15.8
412,100,0.2581,3064.0000,0.2173,0.2675,0.2730,0.010467,-50.417869,36.3461,0.1015,22.1,16.2
413,100,0.2575,3074.0000,0.2169,0.2670,0.2721,-0.011573,-50.305692,36.2549,0.0918,22.0,16.4
414,100,0.2569,3084.0000,0.2164,0.2664,0.2714,-0.031389,-50.225994,36.2006,0.1355,22.1,17.0
415,100,0.2562,3094.0000,0.2162,0.2661,0.2701,1090.250521,-49.711165,35.8574,0.2492,21.9,16.7
416,100,0.2556,3104.0000,0.2155,0.2656,0.2694,0.154206,-49.659865,35.8633,0.1257,22.9,17.0
417,100,0.2550,3114.0000,0.2148,0.2649,0.2690,0.111111,-49.498343,35.7698,0.1375,22.3,16.9
418,99,0.2544,3124.0000,0.2141,0.2641,0.2686,10003.667803,-49.354738,35.6532,0.2201,28.8,16.6
419,99,0.2538,3134.0000,0.2135,0.2635,0.2681,0.021113,-48.232449,35.0206,0.1133,22.2,16.7
420,99,0.2532,3144.0000,0.2130,0.2629,0.2674,0.036080,-47.965355,34.9069,0.0937,22.2,16.7
421,98,0.2527,3153.0000,0.2126,0.2625,0.2667,0.052275,-47.996697,35.0099,0.0963,22.5,16.7
